Metro,Date,ZORI,ZHVI,Income,Population,AffordabilityRatio
"Pueblo, CO",2024-11-30,1360.8791532467812,296148.5016869783,65161.0,169422.0,4.544873493147409
"Grand Junction, CO",2024-11-30,1663.8107211917795,421053.9698209637,64722.0,159681.0,6.505577235267199
"Colorado Springs, CO",2024-12-31,1849.2286483402631,476909.44499308366,89792.0,768832.0,5.311268765514563
"Boulder, CO",2024-12-31,2378.550546245681,761731.4623385895,95363.0,326831.0,7.9877044801295
"Pueblo, CO",2024-12-31,1362.7021286165636,296288.44310219627,65161.0,169422.0,4.547021118494134
"Grand Junction, CO",2024-12-31,1653.1485375869786,422992.3995724341,64722.0,159681.0,6.535527325676495
"Colorado Springs, CO",2025-01-31,1845.8402978563824,476517.9970146955,89792.0,768832.0,5.306909268249905
"Boulder, CO",2025-01-31,2356.661364509353,762886.5844463366,95363.0,326831.0,7.999817376197651
"Pueblo, CO",2025-01-31,1363.1889337935895,296168.1897995072,65161.0,169422.0,4.545175638794788
"Grand Junction, CO",2025-01-31,1664.0200055762057,424708.2717455929,64722.0,159681.0,6.5620387464168735
"Colorado Springs, CO",2025-02-28,1845.5972931252911,475295.5712779167,89792.0,768832.0,5.293295296662472
"Boulder, CO",2025-02-28,2341.2929319642635,762206.532803053,95363.0,326831.0,7.992686186498464
"Pueblo, CO",2025-02-28,1367.882614558094,295984.2042909593,65161.0,169422.0,4.542352086231937
"Grand Junction, CO",2025-02-28,1661.292346081139,425857.9988175346,64722.0,159681.0,6.57980283083858
"Colorado Springs, CO",2025-03-31,1847.4076058964515,473120.0101742631,89792.0,768832.0,5.269066399838104
"Boulder, CO",2025-03-31,2361.1264728894826,759127.9701470408,95363.0,326831.0,7.960403617199971
"Pueblo, CO",2025-03-31,1394.4763735382344,295241.0726259399,65161.0,169422.0,4.530947539570294
"Grand Junction, CO",2025-03-31,1660.9646240861969,426056.1105859116,64722.0,159681.0,6.582863795709521
"Colorado Springs, CO",2025-04-30,1857.899717930719,470523.2125570963,89792.0,768832.0,5.24014625531335
"Boulder, CO",2025-04-30,2369.448290978926,754810.9861296421,95363.0,326831.0,7.915134655260868
"Pueblo, CO",2025-04-30,1406.2503842775584,294791.9461919058,65161.0,169422.0,4.524054974477154
"Grand Junction, CO",2025-04-30,1663.4689773213522,426327.1446424462,64722.0,159681.0,6.5870514607466735
