Metro,Date,ZHVI
"Sterling, CO",2001-06-30,101916.89625937706
"Craig, CO",2001-06-30,110199.15055932284
"Denver, CO",2001-07-31,234049.3380207508
"Colorado Springs, CO",2001-07-31,185486.5189676376
"Fort Collins, CO",2001-07-31,225025.78100886007
"Boulder, CO",2001-07-31,288998.64170063665
"Greeley, CO",2001-07-31,195996.8574258908
"Pueblo, CO",2001-07-31,113267.8510496526
"Grand Junction, CO",2001-07-31,148610.0270281956
"Glenwood Springs, CO",2001-07-31,229270.1093408547
"Edwards, CO",2001-07-31,340435.3187688621
"Durango, CO",2001-07-31,
"Ca-¦on City, CO",2001-07-31,
"Montrose, CO",2001-07-31,139897.78803960964
"Breckenridge, CO",2001-07-31,
"Fort Morgan, CO",2001-07-31,
"Steamboat Springs, CO",2001-07-31,260428.3387494747
"Sterling, CO",2001-07-31,102414.31387150649
"Craig, CO",2001-07-31,110864.67265365685
"Denver, CO",2001-08-31,235675.241914224
"Colorado Springs, CO",2001-08-31,187293.70911699955
"Fort Collins, CO",2001-08-31,227513.1471360162
"Boulder, CO",2001-08-31,291833.10712031164
"Greeley, CO",2001-08-31,197084.9114226241
"Pueblo, CO",2001-08-31,113372.4601009632
"Grand Junction, CO",2001-08-31,149393.12193775995
"Glenwood Springs, CO",2001-08-31,230413.03005989056
"Edwards, CO",2001-08-31,340424.0117195763
"Durango, CO",2001-08-31,
"Ca-¦on City, CO",2001-08-31,
"Montrose, CO",2001-08-31,140441.8211689257
"Breckenridge, CO",2001-08-31,
"Fort Morgan, CO",2001-08-31,
"Steamboat Springs, CO",2001-08-31,261695.8046070918
"Sterling, CO",2001-08-31,102706.39430512323
"Craig, CO",2001-08-31,111252.08898640296
"Denver, CO",2001-09-30,237261.0728059309
"Colorado Springs, CO",2001-09-30,188956.99804599103
"Fort Collins, CO",2001-09-30,229580.28478343948
"Boulder, CO",2001-09-30,294390.7889242249
"Greeley, CO",2001-09-30,198485.04692767237
"Pueblo, CO",2001-09-30,113548.05572233594
"Grand Junction, CO",2001-09-30,150201.9133467677
"Glenwood Springs, CO",2001-09-30,231477.1625010952
