Metro,Date,ZHVI
"Pueblo, CO",2013-02-28,119844.46741736912
"Grand Junction, CO",2013-02-28,189703.059469254
"Glenwood Springs, CO",2013-02-28,358965.26945769973
"Edwards, CO",2013-02-28,459779.7146096485
"Durango, CO",2013-02-28,310349.0690621143
"Ca-¦on City, CO",2013-02-28,
"Montrose, CO",2013-02-28,196714.71510360023
"Breckenridge, CO",2013-02-28,422861.8772728533
"Fort Morgan, CO",2013-02-28,126152.52962858668
"Steamboat Springs, CO",2013-02-28,390919.6938635893
"Sterling, CO",2013-02-28,110690.80492381584
"Craig, CO",2013-02-28,158886.3616077104
"Denver, CO",2013-03-31,252937.5614386381
"Colorado Springs, CO",2013-03-31,216739.07033560323
"Fort Collins, CO",2013-03-31,256736.66193979004
"Boulder, CO",2013-03-31,342915.1232533535
"Greeley, CO",2013-03-31,198305.5778376937
"Pueblo, CO",2013-03-31,119885.60755738852
"Grand Junction, CO",2013-03-31,190964.12270199915
"Glenwood Springs, CO",2013-03-31,361066.4791341906
"Edwards, CO",2013-03-31,462834.1439378278
"Durango, CO",2013-03-31,311929.0626881591
"Ca-¦on City, CO",2013-03-31,
"Montrose, CO",2013-03-31,197638.7637071216
"Breckenridge, CO",2013-03-31,424325.9810828879
"Fort Morgan, CO",2013-03-31,126320.88878631344
"Steamboat Springs, CO",2013-03-31,391569.69441975
"Sterling, CO",2013-03-31,110939.45117587184
"Craig, CO",2013-03-31,159457.90934276013
"Denver, CO",2013-04-30,254410.4403800387
"Colorado Springs, CO",2013-04-30,217455.01186328617
"Fort Collins, CO",2013-04-30,257576.32551771824
"Boulder, CO",2013-04-30,344050.7285215081
"Greeley, CO",2013-04-30,199765.52399857715
"Pueblo, CO",2013-04-30,120178.27776163846
"Grand Junction, CO",2013-04-30,191872.68127625875
"Glenwood Springs, CO",2013-04-30,363930.15034775663
"Edwards, CO",2013-04-30,466720.602338493
"Durango, CO",2013-04-30,313265.725431087
"Ca-¦on City, CO",2013-04-30,
"Montrose, CO",2013-04-30,198390.37258557617
"Breckenridge, CO",2013-04-30,424775.4248037347
"Fort Morgan, CO",2013-04-30,126776.31490605992
"Steamboat Springs, CO",2013-04-30,390867.3861672857
"Sterling, CO",2013-04-30,111262.60618083792
"Craig, CO",2013-04-30,159643.6675088544
"Denver, CO",2013-05-31,256075.48890829983
"Colorado Springs, CO",2013-05-31,218303.4192160088
"Fort Collins, CO",2013-05-31,258216.5501660628
"Boulder, CO",2013-05-31,344896.7240495105
"Greeley, CO",2013-05-31,201359.53988583092
"Pueblo, CO",2013-05-31,120769.55525967068
"Grand Junction, CO",2013-05-31,192396.36408246693
"Glenwood Springs, CO",2013-05-31,367740.4967091372
"Edwards, CO",2013-05-31,471676.60104054585
"Durango, CO",2013-05-31,314631.32565193024
"Ca-¦on City, CO",2013-05-31,
"Montrose, CO",2013-05-31,199818.2310704896
"Breckenridge, CO",2013-05-31,426271.255890906
"Fort Morgan, CO",2013-05-31,127607.77715171536
"Steamboat Springs, CO",2013-05-31,391612.032233381
"Sterling, CO",2013-05-31,111772.3191887302
"Craig, CO",2013-05-31,160184.22478498323
"Denver, CO",2013-06-30,258411.09101696045
"Colorado Springs, CO",2013-06-30,219268.26008732533
"Fort Collins, CO",2013-06-30,259088.40587031268
"Boulder, CO",2013-06-30,345802.81012586027
"Greeley, CO",2013-06-30,203075.53215913623
"Pueblo, CO",2013-06-30,121025.05099549388
"Grand Junction, CO",2013-06-30,192649.85861454392
"Glenwood Springs, CO",2013-06-30,372382.78199742106
"Edwards, CO",2013-06-30,477834.50223700114
"Durango, CO",2013-06-30,316686.716785273
"Ca-¦on City, CO",2013-06-30,
"Montrose, CO",2013-06-30,201341.4197716329
"Breckenridge, CO",2013-06-30,429030.7196941252
"Fort Morgan, CO",2013-06-30,128515.0135602986
"Steamboat Springs, CO",2013-06-30,394489.9384244111
"Sterling, CO",2013-06-30,112527.85829229152
"Craig, CO",2013-06-30,160389.15402978586
"Denver, CO",2013-07-31,261123.02192602423
"Colorado Springs, CO",2013-07-31,220224.0791910424
"Fort Collins, CO",2013-07-31,260335.21370043707
"Boulder, CO",2013-07-31,347918.49880838214
"Greeley, CO",2013-07-31,204977.570788248
"Pueblo, CO",2013-07-31,121032.29923346126
"Grand Junction, CO",2013-07-31,192934.29177272008
"Glenwood Springs, CO",2013-07-31,376871.4539249288
"Edwards, CO",2013-07-31,483384.4648379145
"Durango, CO",2013-07-31,319082.94429990835
"Ca-¦on City, CO",2013-07-31,
"Montrose, CO",2013-07-31,202184.6841304044
"Breckenridge, CO",2013-07-31,431993.5077482786
"Fort Morgan, CO",2013-07-31,129395.50693528928
"Steamboat Springs, CO",2013-07-31,397766.1952115094
"Sterling, CO",2013-07-31,113332.2006642336
"Craig, CO",2013-07-31,160718.9172241252
"Denver, CO",2013-08-31,263923.62445717514
"Colorado Springs, CO",2013-08-31,221195.4621921733
"Fort Collins, CO",2013-08-31,261941.82328591455
"Boulder, CO",2013-08-31,350759.7359778455
"Greeley, CO",2013-08-31,207048.93858864077
"Pueblo, CO",2013-08-31,121148.93172068312
"Grand Junction, CO",2013-08-31,193730.0263522296
"Glenwood Springs, CO",2013-08-31,381867.16550473776
"Edwards, CO",2013-08-31,488777.8058715076
"Durango, CO",2013-08-31,321416.9346253487
"Ca-¦on City, CO",2013-08-31,
"Montrose, CO",2013-08-31,202350.619952124
"Breckenridge, CO",2013-08-31,433437.84342987393
"Fort Morgan, CO",2013-08-31,130148.41500024583
"Steamboat Springs, CO",2013-08-31,400790.6893821742
"Sterling, CO",2013-08-31,114159.80668707028
"Craig, CO",2013-08-31,160991.6361549969
"Denver, CO",2013-09-30,266592.6549842133
"Colorado Springs, CO",2013-09-30,222250.60553124215
"Fort Collins, CO",2013-09-30,263434.84027140244
"Boulder, CO",2013-09-30,353778.8288392617
"Greeley, CO",2013-09-30,209020.0219648335
"Pueblo, CO",2013-09-30,121383.42292050556
"Grand Junction, CO",2013-09-30,194734.0971126104
"Glenwood Springs, CO",2013-09-30,386341.1265436754
"Edwards, CO",2013-09-30,493862.78086483263
"Durango, CO",2013-09-30,322833.7561013699
"Ca-¦on City, CO",2013-09-30,
"Montrose, CO",2013-09-30,202903.99796697675
"Breckenridge, CO",2013-09-30,434149.0136290449
"Fort Morgan, CO",2013-09-30,130760.60106274672
"Steamboat Springs, CO",2013-09-30,403027.48217247735
"Sterling, CO",2013-09-30,114862.71202238444
"Craig, CO",2013-09-30,161330.60999511005
"Denver, CO",2013-10-31,269072.67263957387
"Colorado Springs, CO",2013-10-31,223387.06650504845
"Fort Collins, CO",2013-10-31,264946.041958771
"Boulder, CO",2013-10-31,356743.85156319226
"Greeley, CO",2013-10-31,210687.9105188912
"Pueblo, CO",2013-10-31,121533.61567522545
"Grand Junction, CO",2013-10-31,195684.28634442788
"Glenwood Springs, CO",2013-10-31,390839.0864378104
"Edwards, CO",2013-10-31,497611.7781131062
"Durango, CO",2013-10-31,323868.8033182267
"Ca-¦on City, CO",2013-10-31,
"Montrose, CO",2013-10-31,204093.2700350585
"Breckenridge, CO",2013-10-31,435739.92480845057
"Fort Morgan, CO",2013-10-31,131285.53355422625
"Steamboat Springs, CO",2013-10-31,405506.0745421508
"Sterling, CO",2013-10-31,115535.2407168372
"Craig, CO",2013-10-31,161797.31206100268
"Denver, CO",2013-11-30,271233.0990414054
"Colorado Springs, CO",2013-11-30,224321.763390452
"Fort Collins, CO",2013-11-30,266350.1931514873
"Boulder, CO",2013-11-30,359820.98211920704
"Greeley, CO",2013-11-30,212421.7746126365
"Pueblo, CO",2013-11-30,121452.04693685482
"Grand Junction, CO",2013-11-30,196089.9752876962
"Glenwood Springs, CO",2013-11-30,393740.2329142027
"Edwards, CO",2013-11-30,499632.3432449003
"Durango, CO",2013-11-30,324800.6287421978
"Ca-¦on City, CO",2013-11-30,
"Montrose, CO",2013-11-30,204881.42632141671
"Breckenridge, CO",2013-11-30,437887.7410954564
"Fort Morgan, CO",2013-11-30,131478.7605298184
"Steamboat Springs, CO",2013-11-30,407236.5806104029
"Sterling, CO",2013-11-30,115526.88797087176
"Craig, CO",2013-11-30,161370.9988191553
"Denver, CO",2013-12-31,273195.3518789146
"Colorado Springs, CO",2013-12-31,225000.86440814496
"Fort Collins, CO",2013-12-31,268017.1930542905
"Boulder, CO",2013-12-31,363309.5532147536
"Greeley, CO",2013-12-31,214261.822527163
"Pueblo, CO",2013-12-31,121533.42068050487
"Grand Junction, CO",2013-12-31,196302.36595664616
"Glenwood Springs, CO",2013-12-31,395872.9571837709
"Edwards, CO",2013-12-31,500354.7050211031
"Durango, CO",2013-12-31,326234.80877133313
"Ca-¦on City, CO",2013-12-31,
"Montrose, CO",2013-12-31,205330.28491023785
"Breckenridge, CO",2013-12-31,439598.2590693043
"Fort Morgan, CO",2013-12-31,131761.2917787617
"Steamboat Springs, CO",2013-12-31,407453.8043759032
"Sterling, CO",2013-12-31,115143.08934307062
"Craig, CO",2013-12-31,161141.64902851763
"Denver, CO",2014-01-31,274869.44950141443
"Colorado Springs, CO",2014-01-31,225204.3279270652
"Fort Collins, CO",2014-01-31,269766.5835810913
"Boulder, CO",2014-01-31,366688.13233251823
"Greeley, CO",2014-01-31,216211.24359939172
"Pueblo, CO",2014-01-31,121771.06980939
"Grand Junction, CO",2014-01-31,196490.38112597808
"Glenwood Springs, CO",2014-01-31,397011.18860352505
"Edwards, CO",2014-01-31,501734.2587336346
"Durango, CO",2014-01-31,327782.423414951
"Ca-¦on City, CO",2014-01-31,
"Montrose, CO",2014-01-31,205700.56247124504
"Breckenridge, CO",2014-01-31,440231.5324215133
"Fort Morgan, CO",2014-01-31,132392.33588445382
"Steamboat Springs, CO",2014-01-31,406458.660000829
"Sterling, CO",2014-01-31,114536.64598946768
"Craig, CO",2014-01-31,160294.17349074595
"Denver, CO",2014-02-28,276542.0253071768
"Colorado Springs, CO",2014-02-28,225483.0412661085
"Fort Collins, CO",2014-02-28,271620.3486777879
"Boulder, CO",2014-02-28,369350.68295725854
"Greeley, CO",2014-02-28,217947.81598993044
"Pueblo, CO",2014-02-28,122254.46210455347
"Grand Junction, CO",2014-02-28,197075.07936671804
"Glenwood Springs, CO",2014-02-28,398882.6921775984
"Edwards, CO",2014-02-28,504148.5415723308
"Durango, CO",2014-02-28,329667.78027984576
"Ca-¦on City, CO",2014-02-28,
"Montrose, CO",2014-02-28,206421.38521544772
"Breckenridge, CO",2014-02-28,440387.097606743
"Fort Morgan, CO",2014-02-28,133433.1092300747
"Steamboat Springs, CO",2014-02-28,405511.0438630111
"Sterling, CO",2014-02-28,114664.22547439249
"Craig, CO",2014-02-28,159786.67639663198
"Denver, CO",2014-03-31,278004.6382775881
"Colorado Springs, CO",2014-03-31,226005.37106119745
"Fort Collins, CO",2014-03-31,273351.6944289327
"Boulder, CO",2014-03-31,371390.6939852399
"Greeley, CO",2014-03-31,219922.1468091684
"Pueblo, CO",2014-03-31,122908.20971256105
"Grand Junction, CO",2014-03-31,197750.2794617381
"Glenwood Springs, CO",2014-03-31,401474.9213221674
"Edwards, CO",2014-03-31,507257.1814073807
"Durango, CO",2014-03-31,331416.9407002484
"Ca-¦on City, CO",2014-03-31,
"Montrose, CO",2014-03-31,206936.18065141808
"Breckenridge, CO",2014-03-31,440917.2117624509
"Fort Morgan, CO",2014-03-31,134637.82230857233
"Steamboat Springs, CO",2014-03-31,405993.2430775759
"Sterling, CO",2014-03-31,115126.43878940314
"Craig, CO",2014-03-31,158733.34941167524
"Denver, CO",2014-04-30,279718.0435246574
"Colorado Springs, CO",2014-04-30,226752.54142911316
"Fort Collins, CO",2014-04-30,274760.52787303977
"Boulder, CO",2014-04-30,372704.949670803
"Greeley, CO",2014-04-30,222162.6543324606
"Pueblo, CO",2014-04-30,123769.0571688476
"Grand Junction, CO",2014-04-30,198771.07911649343
"Glenwood Springs, CO",2014-04-30,405474.8818394213
"Edwards, CO",2014-04-30,511681.3888060538
"Durango, CO",2014-04-30,333617.9712775121
"Ca-¦on City, CO",2014-04-30,
"Montrose, CO",2014-04-30,207441.5525950571
"Breckenridge, CO",2014-04-30,441468.61473866174
"Fort Morgan, CO",2014-04-30,136007.00558394406
"Steamboat Springs, CO",2014-04-30,407632.3183197696
"Sterling, CO",2014-04-30,116026.30614169932
"Craig, CO",2014-04-30,158044.57004188947
"Denver, CO",2014-05-31,281533.18815785646
"Colorado Springs, CO",2014-05-31,227375.51871113252
"Fort Collins, CO",2014-05-31,276006.96612946194
"Boulder, CO",2014-05-31,374318.7056521775
"Greeley, CO",2014-05-31,224622.64428076296
"Pueblo, CO",2014-05-31,124720.17490892966
"Grand Junction, CO",2014-05-31,199420.8129239484
"Glenwood Springs, CO",2014-05-31,409389.6742423558
"Edwards, CO",2014-05-31,515745.2977396992
"Durango, CO",2014-05-31,336024.5444515827
"Ca-¦on City, CO",2014-05-31,
"Montrose, CO",2014-05-31,208231.877294136
"Breckenridge, CO",2014-05-31,443302.94746485824
"Fort Morgan, CO",2014-05-31,137387.43549183293
"Steamboat Springs, CO",2014-05-31,409631.50534665695
"Sterling, CO",2014-05-31,116878.0973278469
"Craig, CO",2014-05-31,157865.489224997
"Denver, CO",2014-06-30,283502.9061052126
"Colorado Springs, CO",2014-06-30,227685.0414822166
"Fort Collins, CO",2014-06-30,277266.0398629143
"Boulder, CO",2014-06-30,375912.3934943686
"Greeley, CO",2014-06-30,226997.1029594109
"Pueblo, CO",2014-06-30,125344.6895452977
"Grand Junction, CO",2014-06-30,199652.10058742724
"Glenwood Springs, CO",2014-06-30,412938.6891611926
"Edwards, CO",2014-06-30,519675.7101399793
"Durango, CO",2014-06-30,338655.1372777758
"Ca-¦on City, CO",2014-06-30,
"Montrose, CO",2014-06-30,209330.5686551293
"Breckenridge, CO",2014-06-30,445022.6527931816
"Fort Morgan, CO",2014-06-30,138699.29908289047
"Steamboat Springs, CO",2014-06-30,411011.99303276354
"Sterling, CO",2014-06-30,118007.82988513734
"Craig, CO",2014-06-30,157856.52656313803
"Denver, CO",2014-07-31,285544.3029752338
"Colorado Springs, CO",2014-07-31,228053.6310437245
"Fort Collins, CO",2014-07-31,278852.3398189516
"Boulder, CO",2014-07-31,378274.9821952206
"Greeley, CO",2014-07-31,229491.9093235447
"Pueblo, CO",2014-07-31,125906.23682653432
"Grand Junction, CO",2014-07-31,199413.7255004712
"Glenwood Springs, CO",2014-07-31,415492.4345932329
"Edwards, CO",2014-07-31,522487.1382907445
"Durango, CO",2014-07-31,340705.0937010113
"Ca-¦on City, CO",2014-07-31,
"Montrose, CO",2014-07-31,210577.56780040075
"Breckenridge, CO",2014-07-31,446918.23347439646
"Fort Morgan, CO",2014-07-31,139766.43535563032
"Steamboat Springs, CO",2014-07-31,412408.10501897446
"Sterling, CO",2014-07-31,118990.32810379151
"Craig, CO",2014-07-31,158093.53244080467
"Denver, CO",2014-08-31,287604.4842695546
"Colorado Springs, CO",2014-08-31,228585.9540350427
"Fort Collins, CO",2014-08-31,280757.43334958766
"Boulder, CO",2014-08-31,380588.2807647017
"Greeley, CO",2014-08-31,232141.53516110804
"Pueblo, CO",2014-08-31,126171.62712318808
"Grand Junction, CO",2014-08-31,199230.2880139863
"Glenwood Springs, CO",2014-08-31,417188.1298205254
"Edwards, CO",2014-08-31,525252.396804684
"Durango, CO",2014-08-31,342154.98100950546
"Ca-¦on City, CO",2014-08-31,
"Montrose, CO",2014-08-31,211184.62724142623
"Breckenridge, CO",2014-08-31,447681.3892187348
"Fort Morgan, CO",2014-08-31,140774.69546386696
"Steamboat Springs, CO",2014-08-31,413243.9414269783
"Sterling, CO",2014-08-31,119672.2241114666
"Craig, CO",2014-08-31,157882.11204235614
"Denver, CO",2014-09-30,290103.87922227214
"Colorado Springs, CO",2014-09-30,229539.0203070672
"Fort Collins, CO",2014-09-30,283063.11550502566
"Boulder, CO",2014-09-30,383502.9853978625
"Greeley, CO",2014-09-30,235197.88280227224
"Pueblo, CO",2014-09-30,126403.21019968652
"Grand Junction, CO",2014-09-30,199267.66428674804
"Glenwood Springs, CO",2014-09-30,418728.8446930636
"Edwards, CO",2014-09-30,528609.1077299475
"Durango, CO",2014-09-30,342950.8747656454
"Ca-¦on City, CO",2014-09-30,
"Montrose, CO",2014-09-30,211456.60327568627
"Breckenridge, CO",2014-09-30,448123.6204510066
"Fort Morgan, CO",2014-09-30,141798.56460535162
"Steamboat Springs, CO",2014-09-30,414760.4374857016
"Sterling, CO",2014-09-30,119851.1062447196
"Craig, CO",2014-09-30,157242.93073950667
"Denver, CO",2014-10-31,292833.3245164401
"Colorado Springs, CO",2014-10-31,230762.03616012644
"Fort Collins, CO",2014-10-31,285447.35769810976
"Boulder, CO",2014-10-31,386278.5063121512
"Greeley, CO",2014-10-31,238185.2603657778
"Pueblo, CO",2014-10-31,126305.52266269548
"Grand Junction, CO",2014-10-31,199233.993291058
"Glenwood Springs, CO",2014-10-31,420601.1164192872
"Edwards, CO",2014-10-31,532061.2009414352
"Durango, CO",2014-10-31,343555.9167651806
"Ca-¦on City, CO",2014-10-31,
"Montrose, CO",2014-10-31,211409.4804324448
"Breckenridge, CO",2014-10-31,449825.4742648618
"Fort Morgan, CO",2014-10-31,142490.2817675816
"Steamboat Springs, CO",2014-10-31,416309.0360935779
"Sterling, CO",2014-10-31,119766.5374758172
"Craig, CO",2014-10-31,156435.8824406344
"Denver, CO",2014-11-30,295929.77120891213
"Colorado Springs, CO",2014-11-30,232121.65742509408
"Fort Collins, CO",2014-11-30,287913.963330292
"Boulder, CO",2014-11-30,389345.6418667102
"Greeley, CO",2014-11-30,241398.32742748997
"Pueblo, CO",2014-11-30,126350.40916368348
"Grand Junction, CO",2014-11-30,199329.7763383796
"Glenwood Springs, CO",2014-11-30,423028.1925966339
"Edwards, CO",2014-11-30,535342.7889537072
"Durango, CO",2014-11-30,344537.1325222381
"Ca-¦on City, CO",2014-11-30,
"Montrose, CO",2014-11-30,211621.13610767375
"Breckenridge, CO",2014-11-30,452456.07676719147
"Fort Morgan, CO",2014-11-30,143541.98406200166
"Steamboat Springs, CO",2014-11-30,418011.1397040617
"Sterling, CO",2014-11-30,119996.87993130575
"Craig, CO",2014-11-30,155663.67160144745
"Denver, CO",2014-12-31,299310.69092898205
"Colorado Springs, CO",2014-12-31,233477.3005059367
"Fort Collins, CO",2014-12-31,290570.82324210886
"Boulder, CO",2014-12-31,392229.3057349574
"Greeley, CO",2014-12-31,244399.51703230903
"Pueblo, CO",2014-12-31,126611.29757677192
"Grand Junction, CO",2014-12-31,199785.22237935688
"Glenwood Springs, CO",2014-12-31,425904.7843610397
"Edwards, CO",2014-12-31,537437.9610734922
"Durango, CO",2014-12-31,346354.2554311058
"Ca-¦on City, CO",2014-12-31,
"Montrose, CO",2014-12-31,212288.1047539243
"Breckenridge, CO",2014-12-31,455779.8720388761
"Fort Morgan, CO",2014-12-31,144570.35473968738
"Steamboat Springs, CO",2014-12-31,419233.4302671242
"Sterling, CO",2014-12-31,120599.57050273706
"Craig, CO",2014-12-31,155601.87262264517
"Denver, CO",2015-01-31,303161.51779427304
"Colorado Springs, CO",2015-01-31,234750.077698764
"Fort Collins, CO",2015-01-31,293941.01492827147
"Boulder, CO",2015-01-31,396100.45274969673
"Greeley, CO",2015-01-31,247974.99617864663
"Pueblo, CO",2015-01-31,127187.1805009673
"Grand Junction, CO",2015-01-31,200813.83739582248
"Glenwood Springs, CO",2015-01-31,429186.2252611494
"Edwards, CO",2015-01-31,539450.0524814379
"Durango, CO",2015-01-31,348727.97940042586
"Ca-¦on City, CO",2015-01-31,
"Montrose, CO",2015-01-31,213375.16179112447
"Breckenridge, CO",2015-01-31,458316.37772452185
"Fort Morgan, CO",2015-01-31,145702.3150739052
"Steamboat Springs, CO",2015-01-31,420284.5176738138
"Sterling, CO",2015-01-31,121423.7244289277
"Craig, CO",2015-01-31,155802.9359896157
"Denver, CO",2015-02-28,307498.0016182289
"Colorado Springs, CO",2015-02-28,236066.1060761298
"Fort Collins, CO",2015-02-28,297669.21145370736
"Boulder, CO",2015-02-28,400511.2760254238
"Greeley, CO",2015-02-28,251713.35664608795
"Pueblo, CO",2015-02-28,127936.3073947556
"Grand Junction, CO",2015-02-28,202164.6100818126
"Glenwood Springs, CO",2015-02-28,433330.1313741465
"Edwards, CO",2015-02-28,542334.3224217138
"Durango, CO",2015-02-28,350962.64524841
"Ca-¦on City, CO",2015-02-28,
"Montrose, CO",2015-02-28,214869.7273762514
"Breckenridge, CO",2015-02-28,460603.566542279
"Fort Morgan, CO",2015-02-28,146390.21743043917
"Steamboat Springs, CO",2015-02-28,421386.3935799068
"Sterling, CO",2015-02-28,122203.11304070817
"Craig, CO",2015-02-28,156422.0653732276
"Denver, CO",2015-03-31,311638.07167038927
"Colorado Springs, CO",2015-03-31,237289.64455935007
"Fort Collins, CO",2015-03-31,301239.39518237446
"Boulder, CO",2015-03-31,405364.7896737932
"Greeley, CO",2015-03-31,255711.7037252084
"Pueblo, CO",2015-03-31,128749.5473908502
"Grand Junction, CO",2015-03-31,203361.30998248924
"Glenwood Springs, CO",2015-03-31,438385.90184466186
"Edwards, CO",2015-03-31,545285.8390328172
"Durango, CO",2015-03-31,352831.26798335905
"Ca-¦on City, CO",2015-03-31,
"Montrose, CO",2015-03-31,216548.64156794373
"Breckenridge, CO",2015-03-31,463192.63874902
"Fort Morgan, CO",2015-03-31,146976.40742601056
"Steamboat Springs, CO",2015-03-31,422855.9620275253
"Sterling, CO",2015-03-31,122880.7398659768
"Craig, CO",2015-03-31,157146.74491625364
"Denver, CO",2015-04-30,315465.1772233204
"Colorado Springs, CO",2015-04-30,238438.35788539416
"Fort Collins, CO",2015-04-30,304387.2382910214
"Boulder, CO",2015-04-30,409019.61104716576
"Greeley, CO",2015-04-30,259297.15102494703
"Pueblo, CO",2015-04-30,129651.95157279116
"Grand Junction, CO",2015-04-30,204474.85869311
"Glenwood Springs, CO",2015-04-30,443140.8656617498
"Edwards, CO",2015-04-30,548523.5600090268
"Durango, CO",2015-04-30,354572.63584381953
"Ca-¦on City, CO",2015-04-30,
"Montrose, CO",2015-04-30,218178.99595518588
"Breckenridge, CO",2015-04-30,465321.3662786188
"Fort Morgan, CO",2015-04-30,147856.07050448962
"Steamboat Springs, CO",2015-04-30,424465.5625555827
"Sterling, CO",2015-04-30,123615.31320925769
"Craig, CO",2015-04-30,157969.59024800974
"Denver, CO",2015-05-31,319008.913157271
"Colorado Springs, CO",2015-05-31,239371.1018725748
"Fort Collins, CO",2015-05-31,307230.3686873479
"Boulder, CO",2015-05-31,412790.9643393506
"Greeley, CO",2015-05-31,262352.90734280547
"Pueblo, CO",2015-05-31,130501.18559777467
"Grand Junction, CO",2015-05-31,205494.722547556
"Glenwood Springs, CO",2015-05-31,447917.5649322858
"Edwards, CO",2015-05-31,551111.9513458735
"Durango, CO",2015-05-31,356103.8446811894
"Ca-¦on City, CO",2015-05-31,
"Montrose, CO",2015-05-31,219465.3477339862
"Breckenridge, CO",2015-05-31,467942.3013477524
"Fort Morgan, CO",2015-05-31,148880.31912050585
"Steamboat Springs, CO",2015-05-31,426007.0417017972
"Sterling, CO",2015-05-31,124194.64711388094
"Craig, CO",2015-05-31,158607.5419140809
"Denver, CO",2015-06-30,322465.3784041924
"Colorado Springs, CO",2015-06-30,240281.559806766
"Fort Collins, CO",2015-06-30,310223.3747223685
"Boulder, CO",2015-06-30,416162.792259854
"Greeley, CO",2015-06-30,265068.09071034525
"Pueblo, CO",2015-06-30,131398.34831719025
"Grand Junction, CO",2015-06-30,206428.949954
"Glenwood Springs, CO",2015-06-30,451848.3442819139
"Edwards, CO",2015-06-30,554185.9076146436
"Durango, CO",2015-06-30,357787.877038983
"Ca-¦on City, CO",2015-06-30,
"Montrose, CO",2015-06-30,220393.07711894836
"Breckenridge, CO",2015-06-30,470357.6082403898
"Fort Morgan, CO",2015-06-30,150082.99938125108
"Steamboat Springs, CO",2015-06-30,427354.611279544
"Sterling, CO",2015-06-30,124872.98452048124
"Craig, CO",2015-06-30,158892.86136713982
"Denver, CO",2015-07-31,326017.9414037754
"Colorado Springs, CO",2015-07-31,241496.7348100801
"Fort Collins, CO",2015-07-31,313518.8693204346
"Boulder, CO",2015-07-31,420428.1772851858
"Greeley, CO",2015-07-31,267960.29323741375
"Pueblo, CO",2015-07-31,132357.8918328319
"Grand Junction, CO",2015-07-31,207398.3584485231
"Glenwood Springs, CO",2015-07-31,455430.393350764
"Edwards, CO",2015-07-31,557426.3966642915
"Durango, CO",2015-07-31,359689.8414261056
"Ca-¦on City, CO",2015-07-31,
"Montrose, CO",2015-07-31,221345.9313745227
"Breckenridge, CO",2015-07-31,473563.5823484108
"Fort Morgan, CO",2015-07-31,151198.4742643416
"Steamboat Springs, CO",2015-07-31,428593.8140155441
"Sterling, CO",2015-07-31,125449.79041158575
"Craig, CO",2015-07-31,158754.31102970013
"Denver, CO",2015-08-31,329529.5137300822
"Colorado Springs, CO",2015-08-31,243098.23587045624
"Fort Collins, CO",2015-08-31,317141.933530961
"Boulder, CO",2015-08-31,425200.8880169543
"Greeley, CO",2015-08-31,271139.73213691055
"Pueblo, CO",2015-08-31,133455.20638056155
"Grand Junction, CO",2015-08-31,208248.86905244915
"Glenwood Springs, CO",2015-08-31,458328.61299702193
"Edwards, CO",2015-08-31,562803.8145839311
"Durango, CO",2015-08-31,362015.0818752216
"Ca-¦on City, CO",2015-08-31,
"Montrose, CO",2015-08-31,222994.2512601948
"Breckenridge, CO",2015-08-31,476668.0505139627
"Fort Morgan, CO",2015-08-31,152461.66910067553
"Steamboat Springs, CO",2015-08-31,431399.9614575184
"Sterling, CO",2015-08-31,126187.67527934907
"Craig, CO",2015-08-31,158613.1069862277
"Denver, CO",2015-09-30,333193.1895662958
"Colorado Springs, CO",2015-09-30,244835.0915243133
"Fort Collins, CO",2015-09-30,320641.58600088774
"Boulder, CO",2015-09-30,430961.902458185
"Greeley, CO",2015-09-30,274414.52114551567
"Pueblo, CO",2015-09-30,134489.06463694395
"Grand Junction, CO",2015-09-30,209227.14804951337
"Glenwood Springs, CO",2015-09-30,461015.8326673072
"Edwards, CO",2015-09-30,569674.8929840714
"Durango, CO",2015-09-30,363560.1227875429
"Ca-¦on City, CO",2015-09-30,
"Montrose, CO",2015-09-30,225263.5899148126
"Breckenridge, CO",2015-09-30,480017.68839737057
"Fort Morgan, CO",2015-09-30,153772.9399781165
"Steamboat Springs, CO",2015-09-30,435330.5797503172
"Sterling, CO",2015-09-30,126720.32939557493
"Craig, CO",2015-09-30,158765.94565199653
"Denver, CO",2015-10-31,336622.2556053887
"Colorado Springs, CO",2015-10-31,246505.32291351483
"Fort Collins, CO",2015-10-31,323715.5758872765
"Boulder, CO",2015-10-31,436790.3852717076
"Greeley, CO",2015-10-31,277089.029435328
"Pueblo, CO",2015-10-31,135609.51409644607
"Grand Junction, CO",2015-10-31,209953.998616758
"Glenwood Springs, CO",2015-10-31,463819.6908353609
"Edwards, CO",2015-10-31,576565.3489588599
"Durango, CO",2015-10-31,364243.1294772679
"Ca-¦on City, CO",2015-10-31,
"Montrose, CO",2015-10-31,227771.7003769929
"Breckenridge, CO",2015-10-31,484486.3289346577
"Fort Morgan, CO",2015-10-31,155218.56168160468
"Steamboat Springs, CO",2015-10-31,440259.4923827741
"Sterling, CO",2015-10-31,127498.26741848636
"Craig, CO",2015-10-31,158998.7378298931
"Denver, CO",2015-11-30,339980.8522400148
"Colorado Springs, CO",2015-11-30,248151.63404005265
"Fort Collins, CO",2015-11-30,326644.00468377094
"Boulder, CO",2015-11-30,442483.8532671896
"Greeley, CO",2015-11-30,279697.6145159884
"Pueblo, CO",2015-11-30,136638.41719631036
"Grand Junction, CO",2015-11-30,210747.6170697572
