Metro,Date,ZORI
"Pueblo, CO",2021-12-31,1235.7823647181742
"Grand Junction, CO",2021-12-31,1375.839647945662
"Glenwood Springs, CO",2021-12-31,3010.3471608939967
"Edwards, CO",2021-12-31,
"Durango, CO",2021-12-31,1698.3330443921936
"Ca-¦on City, CO",2021-12-31,
"Montrose, CO",2021-12-31,
"Breckenridge, CO",2021-12-31,
"Steamboat Springs, CO",2021-12-31,
"Sterling, CO",2021-12-31,
"Denver, CO",2022-01-31,1813.5746796390197
"Colorado Springs, CO",2022-01-31,1702.6757933763824
"Fort Collins, CO",2022-01-31,1719.0031636960025
"Boulder, CO",2022-01-31,2068.82028776696
"Greeley, CO",2022-01-31,1827.307702326661
"Pueblo, CO",2022-01-31,1238.1814137145134
"Grand Junction, CO",2022-01-31,1384.2476719168474
"Glenwood Springs, CO",2022-01-31,3144.921190700029
"Edwards, CO",2022-01-31,
"Durango, CO",2022-01-31,1709.152013433582
"Ca-¦on City, CO",2022-01-31,
"Montrose, CO",2022-01-31,
"Breckenridge, CO",2022-01-31,
"Steamboat Springs, CO",2022-01-31,
"Sterling, CO",2022-01-31,
"Denver, CO",2022-02-28,1828.2159942226235
"Colorado Springs, CO",2022-02-28,1712.0231761284708
"Fort Collins, CO",2022-02-28,1732.3695571601802
"Boulder, CO",2022-02-28,2102.612614641587
"Greeley, CO",2022-02-28,1841.564766789476
"Pueblo, CO",2022-02-28,1242.2490601860638
"Grand Junction, CO",2022-02-28,1391.2471617382894
"Glenwood Springs, CO",2022-02-28,3252.8522455014718
"Edwards, CO",2022-02-28,
"Durango, CO",2022-02-28,1726.5880635765966
"Ca-¦on City, CO",2022-02-28,
"Montrose, CO",2022-02-28,
"Breckenridge, CO",2022-02-28,
"Steamboat Springs, CO",2022-02-28,
"Sterling, CO",2022-02-28,
"Denver, CO",2022-03-31,1850.7390309887896
"Colorado Springs, CO",2022-03-31,1726.9744278933572
"Fort Collins, CO",2022-03-31,1744.550229609577
"Boulder, CO",2022-03-31,2130.6288395888078
"Greeley, CO",2022-03-31,1861.527578015164
"Pueblo, CO",2022-03-31,1252.3727605719478
"Grand Junction, CO",2022-03-31,1387.576192770521
"Glenwood Springs, CO",2022-03-31,3148.7764973773537
"Edwards, CO",2022-03-31,
"Durango, CO",2022-03-31,1774.916335283892
"Ca-¦on City, CO",2022-03-31,
"Montrose, CO",2022-03-31,
"Breckenridge, CO",2022-03-31,
"Steamboat Springs, CO",2022-03-31,
"Sterling, CO",2022-03-31,
"Denver, CO",2022-04-30,1874.1789008214887
"Colorado Springs, CO",2022-04-30,1745.6377521906804
"Fort Collins, CO",2022-04-30,1759.9698134166206
"Boulder, CO",2022-04-30,2155.1106533203874
"Greeley, CO",2022-04-30,1881.4312966646844
"Pueblo, CO",2022-04-30,1269.8446995823429
"Grand Junction, CO",2022-04-30,1435.9372573224005
"Glenwood Springs, CO",2022-04-30,3286.031776490091
"Edwards, CO",2022-04-30,
"Durango, CO",2022-04-30,1812.9359865966671
"Ca-¦on City, CO",2022-04-30,
"Montrose, CO",2022-04-30,
"Breckenridge, CO",2022-04-30,
"Steamboat Springs, CO",2022-04-30,
"Sterling, CO",2022-04-30,
"Denver, CO",2022-05-31,1900.4324770768224
"Colorado Springs, CO",2022-05-31,1767.8338407644762
"Fort Collins, CO",2022-05-31,1777.8780973343682
"Boulder, CO",2022-05-31,2165.916673880812
"Greeley, CO",2022-05-31,1903.4088359097336
"Pueblo, CO",2022-05-31,1283.2525904010722
"Grand Junction, CO",2022-05-31,1425.7649078880902
"Glenwood Springs, CO",2022-05-31,3390.454180818152
"Edwards, CO",2022-05-31,
"Durango, CO",2022-05-31,1869.1040469851769
"Ca-¦on City, CO",2022-05-31,
"Montrose, CO",2022-05-31,
"Breckenridge, CO",2022-05-31,
"Steamboat Springs, CO",2022-05-31,
"Sterling, CO",2022-05-31,
"Denver, CO",2022-06-30,1920.404058521387
"Colorado Springs, CO",2022-06-30,1787.4067799949817
"Fort Collins, CO",2022-06-30,1802.446393848088
"Boulder, CO",2022-06-30,2178.5204634973447
"Greeley, CO",2022-06-30,1908.01275079838
"Pueblo, CO",2022-06-30,1289.6696944868474
"Grand Junction, CO",2022-06-30,1453.496776553366
"Glenwood Springs, CO",2022-06-30,3394.504247060456
"Edwards, CO",2022-06-30,
"Durango, CO",2022-06-30,1877.190058585412
"Ca-¦on City, CO",2022-06-30,
"Montrose, CO",2022-06-30,
"Breckenridge, CO",2022-06-30,
"Steamboat Springs, CO",2022-06-30,
"Sterling, CO",2022-06-30,
"Denver, CO",2022-07-31,1935.325355125785
"Colorado Springs, CO",2022-07-31,1804.699940926122
"Fort Collins, CO",2022-07-31,1821.5922585488413
"Boulder, CO",2022-07-31,2186.6905431008067
"Greeley, CO",2022-07-31,1912.387074537681
"Pueblo, CO",2022-07-31,1300.3600131695068
"Grand Junction, CO",2022-07-31,1446.258497385371
"Glenwood Springs, CO",2022-07-31,3357.764792437459
"Edwards, CO",2022-07-31,
"Durango, CO",2022-07-31,1879.492316424409
"Ca-¦on City, CO",2022-07-31,
"Montrose, CO",2022-07-31,
"Breckenridge, CO",2022-07-31,
"Steamboat Springs, CO",2022-07-31,
"Sterling, CO",2022-07-31,
"Denver, CO",2022-08-31,1936.390779839344
"Colorado Springs, CO",2022-08-31,1807.4006642555885
"Fort Collins, CO",2022-08-31,1838.467035941116
"Boulder, CO",2022-08-31,2194.342749933866
"Greeley, CO",2022-08-31,1903.7486977719916
"Pueblo, CO",2022-08-31,1302.672291644904
"Grand Junction, CO",2022-08-31,1479.917537626639
"Glenwood Springs, CO",2022-08-31,3461.4616365386414
"Edwards, CO",2022-08-31,
"Durango, CO",2022-08-31,1873.2781875073497
"Ca-¦on City, CO",2022-08-31,
"Montrose, CO",2022-08-31,
"Breckenridge, CO",2022-08-31,
"Steamboat Springs, CO",2022-08-31,
"Sterling, CO",2022-08-31,
"Denver, CO",2022-09-30,1929.5973737059956
"Colorado Springs, CO",2022-09-30,1800.5200033755953
"Fort Collins, CO",2022-09-30,1838.3528905812632
"Boulder, CO",2022-09-30,2198.1418463608416
"Greeley, CO",2022-09-30,1899.479422304056
"Pueblo, CO",2022-09-30,1299.4084571182464
"Grand Junction, CO",2022-09-30,1478.0097897047249
"Glenwood Springs, CO",2022-09-30,3520.2418173421734
"Edwards, CO",2022-09-30,
"Durango, CO",2022-09-30,1872.7082776676623
"Ca-¦on City, CO",2022-09-30,
"Montrose, CO",2022-09-30,
"Breckenridge, CO",2022-09-30,
"Steamboat Springs, CO",2022-09-30,
"Sterling, CO",2022-09-30,
"Denver, CO",2022-10-31,1919.218818997075
"Colorado Springs, CO",2022-10-31,1788.25577119252
"Fort Collins, CO",2022-10-31,1846.7487454281236
"Boulder, CO",2022-10-31,2201.0646598266726
"Greeley, CO",2022-10-31,1892.8687678732545
"Pueblo, CO",2022-10-31,1293.849260161424
"Grand Junction, CO",2022-10-31,1482.3565171855228
"Glenwood Springs, CO",2022-10-31,3458.218572666362
"Edwards, CO",2022-10-31,
"Durango, CO",2022-10-31,1888.220346733696
"Ca-¦on City, CO",2022-10-31,
"Montrose, CO",2022-10-31,
"Breckenridge, CO",2022-10-31,
"Steamboat Springs, CO",2022-10-31,
"Sterling, CO",2022-10-31,
"Denver, CO",2022-11-30,1905.1450660273813
"Colorado Springs, CO",2022-11-30,1776.1091795542172
"Fort Collins, CO",2022-11-30,1839.4202549591307
"Boulder, CO",2022-11-30,2188.4123393257496
"Greeley, CO",2022-11-30,1906.520336512202
"Pueblo, CO",2022-11-30,1298.7077192853385
"Grand Junction, CO",2022-11-30,1477.2300345523895
"Glenwood Springs, CO",2022-11-30,3477.324041072144
"Edwards, CO",2022-11-30,
"Durango, CO",2022-11-30,1874.3303423123195
"Ca-¦on City, CO",2022-11-30,
"Montrose, CO",2022-11-30,
"Breckenridge, CO",2022-11-30,
"Steamboat Springs, CO",2022-11-30,
"Sterling, CO",2022-11-30,
"Denver, CO",2022-12-31,1895.922234460844
"Colorado Springs, CO",2022-12-31,1774.6494990072424
"Fort Collins, CO",2022-12-31,1838.4260030286373
"Boulder, CO",2022-12-31,2175.7427722971797
"Greeley, CO",2022-12-31,1918.603991895068
"Pueblo, CO",2022-12-31,1307.205148409368
"Grand Junction, CO",2022-12-31,1481.444281913149
"Glenwood Springs, CO",2022-12-31,3555.580816725096
"Edwards, CO",2022-12-31,
"Durango, CO",2022-12-31,1875.537137560848
"Ca-¦on City, CO",2022-12-31,
"Montrose, CO",2022-12-31,
"Breckenridge, CO",2022-12-31,
"Steamboat Springs, CO",2022-12-31,
"Sterling, CO",2022-12-31,
"Denver, CO",2023-01-31,1894.621835988567
"Colorado Springs, CO",2023-01-31,1777.7766597010325
"Fort Collins, CO",2023-01-31,1835.2468036540656
"Boulder, CO",2023-01-31,2174.3034245356453
"Greeley, CO",2023-01-31,1942.453422222034
"Pueblo, CO",2023-01-31,1326.2609683369944
"Grand Junction, CO",2023-01-31,1487.4399051323096
"Glenwood Springs, CO",2023-01-31,3717.483935999025
"Edwards, CO",2023-01-31,3246.5905776794484
"Durango, CO",2023-01-31,1864.6276530830437
"Ca-¦on City, CO",2023-01-31,
"Montrose, CO",2023-01-31,
"Breckenridge, CO",2023-01-31,
"Steamboat Springs, CO",2023-01-31,
"Sterling, CO",2023-01-31,
"Denver, CO",2023-02-28,1907.375352595308
"Colorado Springs, CO",2023-02-28,1790.242142733505
"Fort Collins, CO",2023-02-28,1853.9225168607736
"Boulder, CO",2023-02-28,2191.823831179261
"Greeley, CO",2023-02-28,1949.659669509666
"Pueblo, CO",2023-02-28,1318.654478899558
"Grand Junction, CO",2023-02-28,1488.5727205119265
"Glenwood Springs, CO",2023-02-28,3759.296762964409
"Edwards, CO",2023-02-28,3297.309495127117
"Durango, CO",2023-02-28,1867.465726093951
"Ca-¦on City, CO",2023-02-28,
"Montrose, CO",2023-02-28,
"Breckenridge, CO",2023-02-28,
"Steamboat Springs, CO",2023-02-28,
"Sterling, CO",2023-02-28,
"Denver, CO",2023-03-31,1929.2621474954776
"Colorado Springs, CO",2023-03-31,1802.754714830861
"Fort Collins, CO",2023-03-31,1875.8906508344596
"Boulder, CO",2023-03-31,2216.936978834038
"Greeley, CO",2023-03-31,1969.9201862801465
"Pueblo, CO",2023-03-31,1319.9577763751497
"Grand Junction, CO",2023-03-31,1490.3181121296975
"Glenwood Springs, CO",2023-03-31,3669.5292924017904
"Edwards, CO",2023-03-31,3239.017670899227
"Durango, CO",2023-03-31,1863.1727608205956
"Ca-¦on City, CO",2023-03-31,
"Montrose, CO",2023-03-31,
"Breckenridge, CO",2023-03-31,
"Steamboat Springs, CO",2023-03-31,
"Sterling, CO",2023-03-31,
"Denver, CO",2023-04-30,1944.5771870590968
"Colorado Springs, CO",2023-04-30,1814.2125307909143
"Fort Collins, CO",2023-04-30,1888.2880369384773
"Boulder, CO",2023-04-30,2235.0126788588623
"Greeley, CO",2023-04-30,1971.716917936272
"Pueblo, CO",2023-04-30,1306.4134013583507
"Grand Junction, CO",2023-04-30,1499.028832968586
"Glenwood Springs, CO",2023-04-30,3644.048025722149
"Edwards, CO",2023-04-30,3242.9067064814863
"Durango, CO",2023-04-30,1882.325881633072
"Ca-¦on City, CO",2023-04-30,
"Montrose, CO",2023-04-30,1741.29656869963
"Breckenridge, CO",2023-04-30,
"Steamboat Springs, CO",2023-04-30,
"Sterling, CO",2023-04-30,
"Denver, CO",2023-05-31,1961.4460866693123
"Colorado Springs, CO",2023-05-31,1822.340419201292
"Fort Collins, CO",2023-05-31,1895.33676212092
"Boulder, CO",2023-05-31,2258.121249929662
"Greeley, CO",2023-05-31,1985.6018194247824
"Pueblo, CO",2023-05-31,1322.073486247136
"Grand Junction, CO",2023-05-31,1505.3141966355536
"Glenwood Springs, CO",2023-05-31,3627.4584707616464
"Edwards, CO",2023-05-31,3217.175613581119
"Durango, CO",2023-05-31,1911.9515252290223
"Ca-¦on City, CO",2023-05-31,
"Montrose, CO",2023-05-31,1730.2920624667045
"Breckenridge, CO",2023-05-31,
"Steamboat Springs, CO",2023-05-31,
"Sterling, CO",2023-05-31,
"Denver, CO",2023-06-30,1972.084067390407
"Colorado Springs, CO",2023-06-30,1825.2862194143304
"Fort Collins, CO",2023-06-30,1908.4677780314096
"Boulder, CO",2023-06-30,2269.9841432809235
"Greeley, CO",2023-06-30,1988.5431865514963
"Pueblo, CO",2023-06-30,1329.5405855925965
"Grand Junction, CO",2023-06-30,1507.0474923393408
"Glenwood Springs, CO",2023-06-30,3649.4391504723862
"Edwards, CO",2023-06-30,3218.2135512899217
"Durango, CO",2023-06-30,1928.7945717402345
"Ca-¦on City, CO",2023-06-30,
"Montrose, CO",2023-06-30,1710.0040770653618
"Breckenridge, CO",2023-06-30,
"Steamboat Springs, CO",2023-06-30,
"Sterling, CO",2023-06-30,
"Denver, CO",2023-07-31,1980.6769630353608
"Colorado Springs, CO",2023-07-31,1828.529209295423
"Fort Collins, CO",2023-07-31,1920.7616028930404
"Boulder, CO",2023-07-31,2286.213186306677
"Greeley, CO",2023-07-31,1993.6022691638875
"Pueblo, CO",2023-07-31,1331.3494574293763
"Grand Junction, CO",2023-07-31,1517.6957801905032
"Glenwood Springs, CO",2023-07-31,3623.662454906296
"Edwards, CO",2023-07-31,3234.890068311856
"Durango, CO",2023-07-31,1949.8613188509223
"Ca-¦on City, CO",2023-07-31,
"Montrose, CO",2023-07-31,1706.2272636230316
"Breckenridge, CO",2023-07-31,
"Steamboat Springs, CO",2023-07-31,
"Sterling, CO",2023-07-31,
"Denver, CO",2023-08-31,1984.3157529256112
"Colorado Springs, CO",2023-08-31,1827.506099434113
"Fort Collins, CO",2023-08-31,1929.250266691132
"Boulder, CO",2023-08-31,2287.1896697555176
"Greeley, CO",2023-08-31,1999.421720901292
"Pueblo, CO",2023-08-31,1340.937468691587
"Grand Junction, CO",2023-08-31,1530.7804259989198
"Glenwood Springs, CO",2023-08-31,3597.603531565563
"Edwards, CO",2023-08-31,3283.9521932748285
"Durango, CO",2023-08-31,1954.5054515620077
"Ca-¦on City, CO",2023-08-31,
"Montrose, CO",2023-08-31,1726.095576027436
"Breckenridge, CO",2023-08-31,
"Steamboat Springs, CO",2023-08-31,
"Sterling, CO",2023-08-31,
"Denver, CO",2023-09-30,1980.7537227424395
"Colorado Springs, CO",2023-09-30,1829.8024940424264
"Fort Collins, CO",2023-09-30,1925.956253903344
"Boulder, CO",2023-09-30,2286.4907331939785
"Greeley, CO",2023-09-30,2000.8084320328055
"Pueblo, CO",2023-09-30,1343.5359152197282
"Grand Junction, CO",2023-09-30,1549.5416233613494
"Glenwood Springs, CO",2023-09-30,3634.82707404032
"Edwards, CO",2023-09-30,3377.949285691476
"Durango, CO",2023-09-30,1954.547414510246
"Ca-¦on City, CO",2023-09-30,
"Montrose, CO",2023-09-30,1728.24096524016
"Breckenridge, CO",2023-09-30,
"Steamboat Springs, CO",2023-09-30,
"Sterling, CO",2023-09-30,
"Denver, CO",2023-10-31,1972.37462606486
"Colorado Springs, CO",2023-10-31,1824.952039520629
"Fort Collins, CO",2023-10-31,1914.9855006161697
"Boulder, CO",2023-10-31,2284.7465347847155
"Greeley, CO",2023-10-31,1999.643409513904
"Pueblo, CO",2023-10-31,1349.5901003315207
"Grand Junction, CO",2023-10-31,1562.775336122088
"Glenwood Springs, CO",2023-10-31,3638.864582978451
"Edwards, CO",2023-10-31,3367.4535088860403
"Durango, CO",2023-10-31,1938.3698901542168
"Ca-¦on City, CO",2023-10-31,
"Montrose, CO",2023-10-31,1730.6380081659845
"Breckenridge, CO",2023-10-31,
"Steamboat Springs, CO",2023-10-31,
"Sterling, CO",2023-10-31,
"Denver, CO",2023-11-30,1960.273577387668
"Colorado Springs, CO",2023-11-30,1823.403802079391
"Fort Collins, CO",2023-11-30,1920.273701645352
"Boulder, CO",2023-11-30,2292.187026485995
"Greeley, CO",2023-11-30,1994.8555753691533
"Pueblo, CO",2023-11-30,1329.6663885172045
"Grand Junction, CO",2023-11-30,1550.1710359763383
"Glenwood Springs, CO",2023-11-30,3611.438278405885
"Edwards, CO",2023-11-30,3503.159432939317
"Durango, CO",2023-11-30,1915.597857721445
"Ca-¦on City, CO",2023-11-30,
"Montrose, CO",2023-11-30,1751.9752975458518
"Breckenridge, CO",2023-11-30,
"Steamboat Springs, CO",2023-11-30,
"Sterling, CO",2023-11-30,
"Denver, CO",2023-12-31,1948.0082084136243
"Colorado Springs, CO",2023-12-31,1817.3437328706136
"Fort Collins, CO",2023-12-31,1919.9350610110869
"Boulder, CO",2023-12-31,2293.5435981793858
"Greeley, CO",2023-12-31,1992.3163915193447
"Pueblo, CO",2023-12-31,1333.9165719095038
"Grand Junction, CO",2023-12-31,1530.809992134419
"Glenwood Springs, CO",2023-12-31,3630.9477851766487
"Edwards, CO",2023-12-31,3468.05459906745
"Durango, CO",2023-12-31,1889.1619689606732
"Ca-¦on City, CO",2023-12-31,
"Montrose, CO",2023-12-31,1767.1379711969046
"Breckenridge, CO",2023-12-31,
"Steamboat Springs, CO",2023-12-31,
"Sterling, CO",2023-12-31,
"Denver, CO",2024-01-31,1952.0698187590629
"Colorado Springs, CO",2024-01-31,1818.1791540246315
"Fort Collins, CO",2024-01-31,1930.4852926684937
"Boulder, CO",2024-01-31,2286.878510952895
"Greeley, CO",2024-01-31,1998.4235744917803
"Pueblo, CO",2024-01-31,1345.431806292652
"Grand Junction, CO",2024-01-31,1519.710317272005
"Glenwood Springs, CO",2024-01-31,3645.507977624448
"Edwards, CO",2024-01-31,3675.538701687079
"Durango, CO",2024-01-31,1905.8998507925533
"Ca-¦on City, CO",2024-01-31,
"Montrose, CO",2024-01-31,1821.694942778841
"Breckenridge, CO",2024-01-31,
"Steamboat Springs, CO",2024-01-31,
"Sterling, CO",2024-01-31,
"Denver, CO",2024-02-29,1960.457783254303
"Colorado Springs, CO",2024-02-29,1821.7303952723696
"Fort Collins, CO",2024-02-29,1935.9213994874144
"Boulder, CO",2024-02-29,2279.707019419672
"Greeley, CO",2024-02-29,2005.602375978864
"Pueblo, CO",2024-02-29,1357.8311505371494
"Grand Junction, CO",2024-02-29,1546.4436741348989
"Glenwood Springs, CO",2024-02-29,3662.603526412401
"Edwards, CO",2024-02-29,3631.251118888466
"Durango, CO",2024-02-29,1902.4435603561813
"Ca-¦on City, CO",2024-02-29,
"Montrose, CO",2024-02-29,1842.1587653694105
"Breckenridge, CO",2024-02-29,3516.504258698641
"Steamboat Springs, CO",2024-02-29,
"Sterling, CO",2024-02-29,
"Denver, CO",2024-03-31,1978.814607814436
"Colorado Springs, CO",2024-03-31,1828.645725182256
"Fort Collins, CO",2024-03-31,1948.030708776421
"Boulder, CO",2024-03-31,2286.5680791206023
"Greeley, CO",2024-03-31,2026.376435052503
"Pueblo, CO",2024-03-31,1356.534663014182
"Grand Junction, CO",2024-03-31,1578.22632759062
"Glenwood Springs, CO",2024-03-31,3745.421957713904
"Edwards, CO",2024-03-31,3637.268712995856
"Durango, CO",2024-03-31,1936.9891358613709
"Ca-¦on City, CO",2024-03-31,
"Montrose, CO",2024-03-31,1857.0016253750885
"Breckenridge, CO",2024-03-31,3433.210466626687
"Steamboat Springs, CO",2024-03-31,
"Sterling, CO",2024-03-31,
"Denver, CO",2024-04-30,1990.1239418211524
"Colorado Springs, CO",2024-04-30,1837.2283183059728
"Fort Collins, CO",2024-04-30,1968.128858743025
"Boulder, CO",2024-04-30,2307.0279429379657
"Greeley, CO",2024-04-30,2038.200292292657
"Pueblo, CO",2024-04-30,1356.3329553405097
"Grand Junction, CO",2024-04-30,1600.886366717042
"Glenwood Springs, CO",2024-04-30,3776.0661075713047
"Edwards, CO",2024-04-30,3534.232792980621
"Durango, CO",2024-04-30,1935.9329002536256
"Ca-¦on City, CO",2024-04-30,
"Montrose, CO",2024-04-30,1849.1165014564597
"Breckenridge, CO",2024-04-30,3455.242184939734
"Steamboat Springs, CO",2024-04-30,
"Sterling, CO",2024-04-30,
"Denver, CO",2024-05-31,2005.7090290539195
"Colorado Springs, CO",2024-05-31,1851.1772732128293
"Fort Collins, CO",2024-05-31,1978.6619335945009
"Boulder, CO",2024-05-31,2325.563762739257
"Greeley, CO",2024-05-31,2055.824425451465
"Pueblo, CO",2024-05-31,1371.5520075822471
"Grand Junction, CO",2024-05-31,1615.1699711607416
"Glenwood Springs, CO",2024-05-31,3880.615428798325
"Edwards, CO",2024-05-31,3448.20404438532
"Durango, CO",2024-05-31,1968.76943068419
"Ca-¦on City, CO",2024-05-31,
"Montrose, CO",2024-05-31,1862.9395831613972
"Breckenridge, CO",2024-05-31,3389.9926629357337
"Steamboat Springs, CO",2024-05-31,
"Sterling, CO",2024-05-31,
"Denver, CO",2024-06-30,2014.9752455046917
"Colorado Springs, CO",2024-06-30,1863.328611995286
"Fort Collins, CO",2024-06-30,2000.2882548947832
"Boulder, CO",2024-06-30,2348.4983915554653
"Greeley, CO",2024-06-30,2057.4409766228814
"Pueblo, CO",2024-06-30,1381.871653593633
"Grand Junction, CO",2024-06-30,1627.4699735556237
"Glenwood Springs, CO",2024-06-30,3928.6231696752297
"Edwards, CO",2024-06-30,3449.490553615424
"Durango, CO",2024-06-30,1982.78901449816
"Ca-¦on City, CO",2024-06-30,
"Montrose, CO",2024-06-30,1871.3861208534915
"Breckenridge, CO",2024-06-30,3447.947885007852
"Steamboat Springs, CO",2024-06-30,
"Sterling, CO",2024-06-30,
"Denver, CO",2024-07-31,2023.826465765095
"Colorado Springs, CO",2024-07-31,1874.1336345114405
"Fort Collins, CO",2024-07-31,2007.2644339063831
"Boulder, CO",2024-07-31,2364.6082769628524
"Greeley, CO",2024-07-31,2066.9366600396934
"Pueblo, CO",2024-07-31,1394.9423509305147
"Grand Junction, CO",2024-07-31,1646.8681991163269
"Glenwood Springs, CO",2024-07-31,4011.573584111745
"Edwards, CO",2024-07-31,3488.4689351422185
"Durango, CO",2024-07-31,2008.1820822436516
"Ca-¦on City, CO",2024-07-31,
"Montrose, CO",2024-07-31,1868.8384477019515
"Breckenridge, CO",2024-07-31,3503.077771613558
"Steamboat Springs, CO",2024-07-31,
"Sterling, CO",2024-07-31,
"Denver, CO",2024-08-31,2023.1097197514976
"Colorado Springs, CO",2024-08-31,1872.509263663116
"Fort Collins, CO",2024-08-31,2002.3043213663552
"Boulder, CO",2024-08-31,2373.735563388913
"Greeley, CO",2024-08-31,2070.052359346022
"Pueblo, CO",2024-08-31,1391.5524896664176
"Grand Junction, CO",2024-08-31,1655.5630218681974
"Glenwood Springs, CO",2024-08-31,4021.946499138072
"Edwards, CO",2024-08-31,3672.4472573772855
"Durango, CO",2024-08-31,2019.938869910364
"Ca-¦on City, CO",2024-08-31,
"Montrose, CO",2024-08-31,1860.3040478808305
"Breckenridge, CO",2024-08-31,3616.3503687264815
"Steamboat Springs, CO",2024-08-31,
"Sterling, CO",2024-08-31,
"Denver, CO",2024-09-30,2015.3649725645605
"Colorado Springs, CO",2024-09-30,1869.8421801625364
"Fort Collins, CO",2024-09-30,1981.4817474649449
"Boulder, CO",2024-09-30,2351.7790005518527
"Greeley, CO",2024-09-30,2073.1597324778027
"Pueblo, CO",2024-09-30,1371.5062298113553
"Grand Junction, CO",2024-09-30,1674.310149478333
"Glenwood Springs, CO",2024-09-30,3972.202043563954
"Edwards, CO",2024-09-30,3806.283315345516
"Durango, CO",2024-09-30,2021.0036732749409
"Ca-¦on City, CO",2024-09-30,
"Montrose, CO",2024-09-30,1846.1316850804296
"Breckenridge, CO",2024-09-30,3605.674594684183
"Steamboat Springs, CO",2024-09-30,
"Sterling, CO",2024-09-30,
"Denver, CO",2024-10-31,1993.1792734950827
"Colorado Springs, CO",2024-10-31,1862.667494040024
"Fort Collins, CO",2024-10-31,1960.4186789417208
"Boulder, CO",2024-10-31,2363.4852198689
"Greeley, CO",2024-10-31,2067.2172233912115
"Pueblo, CO",2024-10-31,1364.117030986412
"Grand Junction, CO",2024-10-31,1662.421470215535
"Glenwood Springs, CO",2024-10-31,3889.3956477909855
"Edwards, CO",2024-10-31,3811.1318376815034
"Durango, CO",2024-10-31,2021.4916927734391
"Ca-¦on City, CO",2024-10-31,
"Montrose, CO",2024-10-31,1854.736773288932
"Breckenridge, CO",2024-10-31,3573.856680175005
"Steamboat Springs, CO",2024-10-31,
"Sterling, CO",2024-10-31,
"Denver, CO",2024-11-30,1968.206139324994
"Colorado Springs, CO",2024-11-30,1856.036500646656
"Fort Collins, CO",2024-11-30,1946.63375653288
"Boulder, CO",2024-11-30,2369.8200926193904
"Greeley, CO",2024-11-30,2056.0166533501565
"Pueblo, CO",2024-11-30,1360.8791532467812
"Grand Junction, CO",2024-11-30,1663.8107211917795
"Glenwood Springs, CO",2024-11-30,3910.5293780412776
"Edwards, CO",2024-11-30,3873.210122323188
"Durango, CO",2024-11-30,2025.3923047099845
"Ca-¦on City, CO",2024-11-30,
"Montrose, CO",2024-11-30,1864.5960688420205
"Breckenridge, CO",2024-11-30,3525.791449597083
"Steamboat Springs, CO",2024-11-30,
"Sterling, CO",2024-11-30,
"Denver, CO",2024-12-31,1943.001984369453
"Colorado Springs, CO",2024-12-31,1849.2286483402631
"Fort Collins, CO",2024-12-31,1945.090302188613
"Boulder, CO",2024-12-31,2378.550546245681
"Greeley, CO",2024-12-31,2075.2346022103725
"Pueblo, CO",2024-12-31,1362.7021286165636
"Grand Junction, CO",2024-12-31,1653.1485375869786
"Glenwood Springs, CO",2024-12-31,3819.82351600098
"Edwards, CO",2024-12-31,3807.435922276653
"Durango, CO",2024-12-31,2007.380786341524
"Ca-¦on City, CO",2024-12-31,
"Montrose, CO",2024-12-31,1883.438774299814
"Breckenridge, CO",2024-12-31,3517.406761648941
"Steamboat Springs, CO",2024-12-31,
"Sterling, CO",2024-12-31,
"Denver, CO",2025-01-31,1935.724136754888
"Colorado Springs, CO",2025-01-31,1845.8402978563824
"Fort Collins, CO",2025-01-31,1963.659372075628
"Boulder, CO",2025-01-31,2356.661364509353
"Greeley, CO",2025-01-31,2082.8215134006155
"Pueblo, CO",2025-01-31,1363.1889337935895
"Grand Junction, CO",2025-01-31,1664.0200055762057
"Glenwood Springs, CO",2025-01-31,3927.6304001115886
"Edwards, CO",2025-01-31,4014.139706395657
"Durango, CO",2025-01-31,1977.7367454153664
"Ca-¦on City, CO",2025-01-31,1374.1556663292083
"Montrose, CO",2025-01-31,1853.9254516748983
"Breckenridge, CO",2025-01-31,3457.4951924433813
"Steamboat Springs, CO",2025-01-31,
"Sterling, CO",2025-01-31,
"Denver, CO",2025-02-28,1938.5597270966853
"Colorado Springs, CO",2025-02-28,1845.5972931252911
"Fort Collins, CO",2025-02-28,1990.65012605874
"Boulder, CO",2025-02-28,2341.2929319642635
"Greeley, CO",2025-02-28,2103.0947968682945
"Pueblo, CO",2025-02-28,1367.882614558094
"Grand Junction, CO",2025-02-28,1661.292346081139
"Glenwood Springs, CO",2025-02-28,3819.242693992084
"Edwards, CO",2025-02-28,3930.821910325324
"Durango, CO",2025-02-28,1973.5875579108392
"Ca-¦on City, CO",2025-02-28,1364.5582406625606
"Montrose, CO",2025-02-28,1855.5125720440728
"Breckenridge, CO",2025-02-28,3463.3522873473235
"Steamboat Springs, CO",2025-02-28,3216.452784492748
"Sterling, CO",2025-02-28,953.388632741048
"Denver, CO",2025-03-31,1955.278252994787
"Colorado Springs, CO",2025-03-31,1847.4076058964515
"Fort Collins, CO",2025-03-31,2013.536875134039
"Boulder, CO",2025-03-31,2361.1264728894826
"Greeley, CO",2025-03-31,2097.115035035808
"Pueblo, CO",2025-03-31,1394.4763735382344
"Grand Junction, CO",2025-03-31,1660.9646240861969
"Glenwood Springs, CO",2025-03-31,3987.779829822389
"Edwards, CO",2025-03-31,3903.436955529573
