Metro,Date,ZORI
"Durango, CO",2016-05-31,
"Ca-¦on City, CO",2016-05-31,
"Montrose, CO",2016-05-31,
"Breckenridge, CO",2016-05-31,
"Steamboat Springs, CO",2016-05-31,
"Sterling, CO",2016-05-31,
"Denver, CO",2016-06-30,1420.0837549424004
"Colorado Springs, CO",2016-06-30,1157.4664178776611
"Fort Collins, CO",2016-06-30,1373.0280980623254
"Boulder, CO",2016-06-30,1620.315140456948
"Greeley, CO",2016-06-30,1400.091404372703
"Pueblo, CO",2016-06-30,828.2223682570184
"Grand Junction, CO",2016-06-30,928.9258176419736
"Glenwood Springs, CO",2016-06-30,1655.447810835448
"Edwards, CO",2016-06-30,
"Durango, CO",2016-06-30,
"Ca-¦on City, CO",2016-06-30,
"Montrose, CO",2016-06-30,
"Breckenridge, CO",2016-06-30,
"Steamboat Springs, CO",2016-06-30,
"Sterling, CO",2016-06-30,
"Denver, CO",2016-07-31,1426.1106028138292
"Colorado Springs, CO",2016-07-31,1159.644992464467
"Fort Collins, CO",2016-07-31,1377.5997443625752
"Boulder, CO",2016-07-31,1617.798667404915
"Greeley, CO",2016-07-31,1393.6923996542378
"Pueblo, CO",2016-07-31,833.8584388361439
"Grand Junction, CO",2016-07-31,934.9231693367154
"Glenwood Springs, CO",2016-07-31,1692.665670068292
"Edwards, CO",2016-07-31,
"Durango, CO",2016-07-31,
"Ca-¦on City, CO",2016-07-31,
"Montrose, CO",2016-07-31,
"Breckenridge, CO",2016-07-31,
"Steamboat Springs, CO",2016-07-31,
"Sterling, CO",2016-07-31,
"Denver, CO",2016-08-31,1425.6552678938997
"Colorado Springs, CO",2016-08-31,1169.6598404067372
"Fort Collins, CO",2016-08-31,1369.6464103734918
"Boulder, CO",2016-08-31,1611.017976573644
"Greeley, CO",2016-08-31,1381.5969527664151
"Pueblo, CO",2016-08-31,831.1812491789565
"Grand Junction, CO",2016-08-31,935.0898873618286
"Glenwood Springs, CO",2016-08-31,1686.3884312742134
"Edwards, CO",2016-08-31,
"Durango, CO",2016-08-31,
"Ca-¦on City, CO",2016-08-31,
"Montrose, CO",2016-08-31,
"Breckenridge, CO",2016-08-31,
"Steamboat Springs, CO",2016-08-31,
"Sterling, CO",2016-08-31,
"Denver, CO",2016-09-30,1418.5400418436782
"Colorado Springs, CO",2016-09-30,1171.6706246723568
"Fort Collins, CO",2016-09-30,1353.539981160983
